DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 09:06:05,51,46,0,1031.804,60.314,23,6,138,0,0,8.109,20.63
2025-03-04 09:06:07,80,115,0,1010.974,64.216,57.5,6,345,0,0,0.817,8.53
2025-03-04 09:06:09,114,184,0,1005.076,62.196,92,6,552,0,0,0.723,8.152
2025-03-04 09:06:11,146,241,0,1008.685,66.746,120.5,6,723,0,0,0.78,8.963
2025-03-04 09:06:13,181,309,0,1009.709,66.857,154.5,6,927,0,0,0.56,9.369
2025-03-04 09:06:15,238,679,0,1008.174,62.309,339.5,6,2037,0,0,0.524,5.102
2025-03-04 09:06:17,275,524,0,1012.655,67.367,262,6,1572,0,0,0.443,9.708
2025-03-04 09:06:19,307,562,0,1011.802,64.036,281,6,1686,0,0,0.416,8.103
2025-03-04 09:06:21,341,617,0,1016.292,64.123,308.5,6,1851,0,0,0.417,13.284
2025-03-04 09:06:23,376,683,0,1014.873,65.938,341.5,6,2049,0,0,0.394,13.698
2025-03-04 09:06:25,409,756,0,1013.504,64.526,378,6,2268,0,0,0.386,12.054
2025-03-04 09:06:27,442,822,0,1027.483,68.025,411,6,2466,0,0,0.416,25.153
2025-03-04 09:06:29,472,817,0,1058.633,73.908,408.5,6,2451,0,0,0.395,59.507
2025-03-04 09:06:31,505,874,0,1106.339,73.875,437,6,2622,0,0,0.359,107.215
2025-03-04 09:06:33,540,849,0,1181.25,77.926,424.5,6,2547,0,0,0.353,179.895
2025-03-04 09:06:35,574,833,0,1275.158,73.084,416.5,6,2499,0,0,0.37,274.971
2025-03-04 09:06:37,607,867,0,1332.767,71.978,433.5,6,2601,0,0,0.377,329.465
2025-03-04 09:06:39,639,846,0,1409.91,77.857,423,6,2538,0,0,0.326,405.623
2025-03-04 09:06:41,675,838,0,1507.47,74.038,419,6,2514,0,0,0.34,506.169
2025-03-04 09:06:43,710,841,0,1577.784,77.374,420.5,6,2523,0,0,0.333,577.541
2025-03-04 09:06:45,743,824,0,1653.351,87.055,412,6,2472,0,0,0.356,653.843
2025-03-04 09:06:47,793,1222,0,1815.927,82.39,611,6,3666,0,0,0.367,496.363
2025-03-04 09:06:49,824,790,0,1933.789,77.845,395,6,2370,0,0,0.347,933.144
2025-03-04 09:06:51,860,808,0,2041.943,72.875,404,6,2424,0,0,0.337,1039.64
2025-03-04 09:06:53,892,815,0,2069.466,75.66,407.5,6,2445,0,0,0.297,1067.185
2025-03-04 09:06:55,923,802,0,2157.192,75.599,401,6,2406,0,0,0.293,1158.293
2025-03-04 09:06:57,958,774,0,2290.132,84.194,387,6,2322,0,0,0.317,1290.805
2025-03-04 09:06:59,993,791,0,2386.389,78.31,395.5,6,2373,0,0,0.291,1384.804
2025-03-04 09:07:01,1026,770,0,2480.31,77.36,385,6,2310,0,0,0.286,1485.64
2025-03-04 09:07:03,1060,770,0,2619.648,77.839,385,6,2310,0,0,0.274,1620.799
2025-03-04 09:07:05,1092,742,0,2700.426,71.952,371,6,2226,0,0,0.267,1702.841
2025-03-04 09:07:07,1128,760,0,2801.476,74.379,380,6,2280,0,0,0.275,1799.974
2025-03-04 09:07:09,1163,787,0,2870.028,80.617,393.5,6,2361,0,0,0.301,1871.465
2025-03-04 09:07:11,1198,815,0,2852.421,79.765,407.5,6,2445,0,0,0.292,1851.09
2025-03-04 09:07:13,1225,801,0,2902.784,72.286,400.5,6,2403,0,0,0.256,1902.419
2025-03-04 09:07:15,1256,785,0,3014.54,79.814,392.5,6,2355,0,0,0.294,2013.075
2025-03-04 09:07:17,1293,941,0,3073.45,76.236,470.5,6,2823,0,0,0.281,2073.755
2025-03-04 09:07:19,1348,1250,0,3176.229,99.532,625,6,3750,0,0,0.268,1268.967
2025-03-04 09:07:21,1385,813,0,3331.285,81.243,406.5,6,2439,0,0,0.262,2328.039
2025-03-04 09:07:23,1419,850,0,3281.113,77.069,425,6,2550,0,0,0.256,2279.188
2025-03-04 09:07:25,1450,797,0,3333.218,84.282,398.5,6,2391,0,0,0.275,2331.519
2025-03-04 09:07:27,1486,811,0,3493.386,84.757,405.5,6,2433,0,0,0.264,2488.76
2025-03-04 09:07:29,1519,859,0,3496.788,74.26,429.5,6,2577,0,0,0.275,2493.212
2025-03-04 09:07:31,1552,778,0,3564.082,93.536,389,6,2334,0,0,0.262,2563.428
2025-03-04 09:07:33,1585,834,0,3742.526,82.836,417,6,2502,0,0,0.254,2740.248
2025-03-04 09:07:35,1618,840,0,3732.66,73.394,420,6,2520,0,0,0.273,2731.571
2025-03-04 09:07:37,1651,801,0,3784.297,87.041,400.5,6,2403,0,0,0.273,2786.507
2025-03-04 09:07:39,1686,850,0,3885.206,77.173,425,6,2550,0,0,0.251,2887.666
2025-03-04 09:07:41,1719,846,0,3895.135,75.939,423,6,2538,0,0,0.277,2893.778
2025-03-04 09:07:43,1748,831,0,4012.289,88.25,415.5,6,2493,0,0,0.273,3014.081
2025-03-04 09:07:45,1783,833,0,4080.684,80.66,416.5,6,2499,0,0,0.271,3080.903
2025-03-04 09:07:47,1815,804,0,4136.244,84.718,402,6,2412,0,0,0.238,3139.76
2025-03-04 09:07:49,1867,1261,0,4346.878,75.914,630.5,6,3783,0,0,0.311,2774.97
2025-03-04 09:07:51,1902,812,0,4408.302,81.92,406,6,2436,0,0,-1.151,2334.702
2025-03-04 09:07:53,1935,758,0,4565.53,124.504,379,6,2274,0,0,0.248,3551.832
2025-03-04 09:07:55,1969,801,0,4752.739,80.232,400.5,6,2403,0,0,0.26,3755.211
2025-03-04 09:07:57,2002,797,0,4844.767,81.719,398.5,6,2391,0,0,0.256,3844.969
2025-03-04 09:07:59,2033,741,0,4959.706,120.403,370.5,6,2223,0,0,0.258,3958.637
2025-03-04 09:08:01,2066,798,0,5066.977,79.653,399,6,2394,0,0,0.276,4068.197
2025-03-04 09:08:03,2103,784,0,5142.476,81.206,392,6,2352,0,0,0.274,4140.223
2025-03-04 09:08:05,2135,750,0,5220.848,100.721,375,6,2250,0,0,0.243,4218.277
2025-03-04 09:08:07,2167,779,0,5322.417,76.264,389.5,6,2337,0,0,0.297,4318.362
2025-03-04 09:08:09,2202,792,0,5402.154,81.421,396,6,2376,0,0,0.265,4402.975
2025-03-04 09:08:11,2236,728,0,5541.812,92.855,364,6,2184,0,0,0.234,4540.368
2025-03-04 09:08:13,2269,800,0,5636.811,73.385,400,6,2400,0,0,0.253,4637.631
