DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 08:10:56,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,5.10%,"2.37GiB / 15.51GiB",15.28%,"82.5MB / 743kB","0B / 0B",1486
2025-03-04 08:10:56,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,0.12%,"88.38MiB / 15.51GiB",0.56%,"2.48kB / 1.14kB","0B / 0B",38
2025-03-04 08:10:56,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,8.99%,"734.8MiB / 15.51GiB",4.63%,"2.73MB / 82.9MB","0B / 0B",242
2025-03-04 08:10:56,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,0.15%,"51.71MiB / 1GiB",5.05%,"2.19kB / 510B","0B / 0B",21
2025-03-04 08:11:08,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,41.41%,"2.492GiB / 15.51GiB",16.07%,"82.7MB / 1.09MB","0B / 0B",1453
2025-03-04 08:11:08,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,2.68%,"89.48MiB / 15.51GiB",0.56%,"337kB / 377kB","0B / 0B",38
2025-03-04 08:11:08,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,7.36%,"736.6MiB / 15.51GiB",4.64%,"2.89MB / 83MB","0B / 0B",242
2025-03-04 08:11:08,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,37.09%,"60.8MiB / 1GiB",5.94%,"189kB / 100kB","0B / 0B",26
2025-03-04 08:11:19,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,41.57%,"2.506GiB / 15.51GiB",16.16%,"83.2MB / 1.89MB","0B / 0B",1444
2025-03-04 08:11:19,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,4.56%,"91.95MiB / 15.51GiB",0.58%,"1.4MB / 1.56MB","0B / 0B",38
2025-03-04 08:11:19,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,4.99%,"738.2MiB / 15.51GiB",4.65%,"3.05MB / 83MB","0B / 0B",243
2025-03-04 08:11:19,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,61.52%,"68.56MiB / 1GiB",6.70%,"769kB / 410kB","0B / 0B",33
2025-03-04 08:11:32,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,55.11%,"2.524GiB / 15.51GiB",16.28%,"84.1MB / 3.15MB","0B / 0B",1439
2025-03-04 08:11:32,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,5.70%,"92.59MiB / 15.51GiB",0.58%,"3.2MB / 3.58MB","0B / 0B",39
2025-03-04 08:11:32,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,18.62%,"740.8MiB / 15.51GiB",4.66%,"3.22MB / 83.1MB","0B / 0B",239
2025-03-04 08:11:32,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,76.34%,"71.5MiB / 1GiB",6.98%,"1.78MB / 956kB","0B / 0B",36
2025-03-04 08:11:44,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,60.57%,"2.578GiB / 15.51GiB",16.62%,"85.4MB / 4.87MB","0B / 0B",1431
2025-03-04 08:11:44,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,7.26%,"93.32MiB / 15.51GiB",0.59%,"5.79MB / 6.5MB","0B / 0B",39
2025-03-04 08:11:44,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,2.26%,"742.4MiB / 15.51GiB",4.67%,"3.4MB / 83.1MB","0B / 0B",239
2025-03-04 08:11:44,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,96.58%,"69.75MiB / 1GiB",6.81%,"3.26MB / 1.76MB","0B / 0B",35
2025-03-04 08:11:55,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,31.40%,"2.543GiB / 15.51GiB",16.40%,"86.9MB / 7.02MB","0B / 0B",1431
2025-03-04 08:11:55,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,8.81%,"94.16MiB / 15.51GiB",0.59%,"9.16MB / 10.3MB","0B / 0B",39
2025-03-04 08:11:55,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,2.51%,"743.8MiB / 15.51GiB",4.68%,"3.56MB / 83.2MB","0B / 0B",240
2025-03-04 08:11:55,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,113.41%,"81.93MiB / 1GiB",8.00%,"5.25MB / 2.85MB","0B / 0B",45
2025-03-04 08:12:07,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,84.52%,"2.596GiB / 15.51GiB",16.74%,"88.8MB / 9.55MB","0B / 0B",1431
2025-03-04 08:12:07,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,13.76%,"95.51MiB / 15.51GiB",0.60%,"13.6MB / 15.5MB","0B / 0B",39
2025-03-04 08:12:07,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,1.79%,"745MiB / 15.51GiB",4.69%,"3.73MB / 83.2MB","0B / 0B",240
2025-03-04 08:12:07,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,138.52%,"115.3MiB / 1GiB",11.26%,"8.21MB / 4.55MB","0B / 0B",61
2025-03-04 08:12:19,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,56.17%,"2.708GiB / 15.51GiB",17.46%,"90.8MB / 12.2MB","0B / 0B",1431
2025-03-04 08:12:19,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,13.14%,"96.34MiB / 15.51GiB",0.61%,"18.4MB / 21.2MB","0B / 0B",39
2025-03-04 08:12:19,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,2.12%,"746.7MiB / 15.51GiB",4.70%,"3.9MB / 83.3MB","0B / 0B",240
2025-03-04 08:12:19,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,139.29%,"116.6MiB / 1GiB",11.38%,"11.7MB / 6.56MB","0B / 0B",60
2025-03-04 08:12:30,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,92.57%,"2.81GiB / 15.51GiB",18.12%,"92.7MB / 14.8MB","0B / 0B",1431
2025-03-04 08:12:30,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,48.05%,"97.66MiB / 15.51GiB",0.61%,"23.2MB / 26.8MB","0B / 0B",40
2025-03-04 08:12:30,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,2.30%,"726.6MiB / 15.51GiB",4.58%,"4.07MB / 83.3MB","0B / 0B",239
2025-03-04 08:12:30,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,139.62%,"121.1MiB / 1GiB",11.83%,"15.1MB / 8.54MB","0B / 0B",60
2025-03-04 08:12:42,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,52.75%,"2.859GiB / 15.51GiB",18.43%,"94.6MB / 17.3MB","0B / 0B",1432
2025-03-04 08:12:42,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,44.40%,"100.7MiB / 15.51GiB",0.63%,"27.6MB / 31.9MB","0B / 0B",40
2025-03-04 08:12:42,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,1.62%,"727.4MiB / 15.51GiB",4.58%,"4.24MB / 83.4MB","0B / 0B",239
2025-03-04 08:12:42,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,140.45%,"127.4MiB / 1GiB",12.45%,"18MB / 10.3MB","0B / 0B",60
2025-03-04 08:12:53,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,33.26%,"2.886GiB / 15.51GiB",18.61%,"96.4MB / 19.8MB","0B / 0B",1431
2025-03-04 08:12:53,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,42.81%,"101.6MiB / 15.51GiB",0.64%,"32.3MB / 37.4MB","0B / 0B",40
2025-03-04 08:12:53,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,2.78%,"728.9MiB / 15.51GiB",4.59%,"4.4MB / 83.4MB","0B / 0B",240
2025-03-04 08:12:53,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,143.79%,"132.4MiB / 1GiB",12.93%,"21.3MB / 12.3MB","0B / 0B",60
2025-03-04 08:13:05,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,35.71%,"2.936GiB / 15.51GiB",18.93%,"98.3MB / 22.4MB","0B / 0B",1431
2025-03-04 08:13:05,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,13.11%,"102.2MiB / 15.51GiB",0.64%,"37MB / 43MB","0B / 0B",40
2025-03-04 08:13:05,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,1.16%,"730.2MiB / 15.51GiB",4.60%,"4.57MB / 83.5MB","0B / 0B",240
2025-03-04 08:13:05,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,143.52%,"130.4MiB / 1GiB",12.73%,"24.7MB / 14.2MB","0B / 0B",60
2025-03-04 08:13:17,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,29.33%,"3.051GiB / 15.51GiB",19.67%,"100MB / 24.9MB","0B / 0B",1431
2025-03-04 08:13:17,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,12.06%,"104.8MiB / 15.51GiB",0.66%,"41.5MB / 48.2MB","0B / 0B",40
2025-03-04 08:13:17,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,2.58%,"731.7MiB / 15.51GiB",4.61%,"4.75MB / 83.5MB","0B / 0B",242
2025-03-04 08:13:17,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,139.22%,"138.1MiB / 1GiB",13.48%,"27.7MB / 16MB","0B / 0B",60
2025-03-04 08:13:28,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,60.52%,"3.2GiB / 15.51GiB",20.64%,"102MB / 27.5MB","0B / 0B",1431
2025-03-04 08:13:28,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,11.43%,"105.1MiB / 15.51GiB",0.66%,"46.2MB / 53.6MB","0B / 0B",40
2025-03-04 08:13:28,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,1.26%,"732.5MiB / 15.51GiB",4.61%,"4.9MB / 83.6MB","0B / 0B",240
2025-03-04 08:13:28,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,142.63%,"140.5MiB / 1GiB",13.72%,"31MB / 17.9MB","0B / 0B",60
2025-03-04 08:13:40,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,27.32%,"3.338GiB / 15.51GiB",21.53%,"104MB / 29.9MB","0B / 0B",1431
2025-03-04 08:13:40,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,53.63%,"105.7MiB / 15.51GiB",0.67%,"50.7MB / 59MB","0B / 0B",40
2025-03-04 08:13:40,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,1.74%,"733.7MiB / 15.51GiB",4.62%,"5.08MB / 83.6MB","0B / 0B",240
2025-03-04 08:13:40,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,137.03%,"139MiB / 1GiB",13.58%,"34.2MB / 19.8MB","0B / 0B",60
2025-03-04 08:13:52,742f49c38a31,reverse-proxy-agent-1,742f49c38a31,31.10%,"3.47GiB / 15.51GiB",22.37%,"106MB / 32.4MB","0B / 0B",1431
2025-03-04 08:13:52,035abc10672c,reverse-proxy-nginx-proxy-1,035abc10672c,15.89%,"105.1MiB / 15.51GiB",0.66%,"55.3MB / 64.4MB","0B / 0B",40
2025-03-04 08:13:52,9f6bfda2e58f,reverse-proxy-controller-1,9f6bfda2e58f,12.67%,"738.1MiB / 15.51GiB",4.65%,"5.25MB / 83.7MB","0B / 0B",239
2025-03-04 08:13:52,44e18ef2aa88,reverse-proxy-api-1,44e18ef2aa88,142.35%,"139.5MiB / 1GiB",13.63%,"37.5MB / 21.8MB","0B / 0B",60
