Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740726829,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.14%,"98.79MiB / 15.51GiB",0.62%,"983MB / 1.14GB","0B / 0B",40
1740726829,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,0.13%,"265.6MiB / 15.51GiB",1.67%,"514MB / 594MB","0B / 0B",37
1740726829,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.98%,"824.3MiB / 15.51GiB",5.19%,"57.1MB / 101MB","0B / 0B",241
1740726829,e192d5341051,reverse-proxy-api-1,e192d5341051,0.13%,"157.7MiB / 1GiB",15.40%,"647MB / 370MB","0B / 0B",21
1740726841,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.16%,"98.79MiB / 15.51GiB",0.62%,"983MB / 1.14GB","0B / 0B",40
1740726841,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,13.56%,"2.153GiB / 15.51GiB",13.88%,"514MB / 594MB","0B / 0B",879
1740726841,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.68%,"826.9MiB / 15.51GiB",5.21%,"57.2MB / 101MB","0B / 0B",255
1740726841,e192d5341051,reverse-proxy-api-1,e192d5341051,0.14%,"157.7MiB / 1GiB",15.40%,"647MB / 370MB","0B / 0B",21
1740726850,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.78%,"99.93MiB / 15.51GiB",0.63%,"983MB / 1.14GB","0B / 0B",40
1740726850,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,38.24%,"2.301GiB / 15.51GiB",14.84%,"514MB / 594MB","0B / 0B",887
1740726850,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.76%,"827.6MiB / 15.51GiB",5.21%,"57.3MB / 101MB","0B / 0B",255
1740726850,e192d5341051,reverse-proxy-api-1,e192d5341051,95.94%,"161.8MiB / 1GiB",15.80%,"647MB / 370MB","0B / 0B",29
1740726862,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,4.37%,"101.5MiB / 15.51GiB",0.64%,"984MB / 1.14GB","0B / 0B",40
1740726862,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,35.74%,"2.353GiB / 15.51GiB",15.18%,"515MB / 595MB","0B / 0B",874
1740726862,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.97%,"828.3MiB / 15.51GiB",5.22%,"57.5MB / 101MB","0B / 0B",254
1740726862,e192d5341051,reverse-proxy-api-1,e192d5341051,94.54%,"164.8MiB / 1GiB",16.09%,"648MB / 370MB","0B / 0B",33
1740726874,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.53%,"102.7MiB / 15.51GiB",0.65%,"985MB / 1.14GB","0B / 0B",40
1740726874,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,26.52%,"2.368GiB / 15.51GiB",15.27%,"515MB / 595MB","0B / 0B",877
1740726874,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.86%,"800.3MiB / 15.51GiB",5.04%,"57.7MB / 101MB","0B / 0B",253
1740726874,e192d5341051,reverse-proxy-api-1,e192d5341051,94.94%,"167.4MiB / 1GiB",16.35%,"649MB / 371MB","0B / 0B",35
1740726884,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.97%,"103.4MiB / 15.51GiB",0.65%,"986MB / 1.14GB","0B / 0B",40
1740726884,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,16.38%,"2.385GiB / 15.51GiB",15.38%,"515MB / 596MB","0B / 0B",862
1740726884,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.99%,"801.2MiB / 15.51GiB",5.05%,"57.8MB / 101MB","0B / 0B",254
1740726884,e192d5341051,reverse-proxy-api-1,e192d5341051,94.38%,"167.6MiB / 1GiB",16.37%,"649MB / 371MB","0B / 0B",33
1740726896,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.07%,"104MiB / 15.51GiB",0.66%,"986MB / 1.14GB","0B / 0B",40
1740726896,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,16.80%,"2.394GiB / 15.51GiB",15.44%,"516MB / 596MB","0B / 0B",878
1740726896,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.08%,"801.8MiB / 15.51GiB",5.05%,"58MB / 101MB","0B / 0B",254
1740726896,e192d5341051,reverse-proxy-api-1,e192d5341051,93.98%,"162.6MiB / 1GiB",15.88%,"649MB / 371MB","0B / 0B",32
1740726908,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.10%,"104.6MiB / 15.51GiB",0.66%,"987MB / 1.15GB","0B / 0B",40
1740726908,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,12.91%,"2.399GiB / 15.51GiB",15.47%,"516MB / 597MB","0B / 0B",861
1740726908,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.67%,"802.4MiB / 15.51GiB",5.05%,"58.1MB / 101MB","0B / 0B",254
1740726908,e192d5341051,reverse-proxy-api-1,e192d5341051,95.26%,"163.4MiB / 1GiB",15.96%,"650MB / 371MB","0B / 0B",33
1740726918,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.40%,"104.7MiB / 15.51GiB",0.66%,"988MB / 1.15GB","0B / 0B",40
1740726918,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,13.28%,"2.425GiB / 15.51GiB",15.64%,"516MB / 597MB","0B / 0B",869
1740726918,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.93%,"803.2MiB / 15.51GiB",5.06%,"58.3MB / 101MB","0B / 0B",254
1740726918,e192d5341051,reverse-proxy-api-1,e192d5341051,95.30%,"165.5MiB / 1GiB",16.16%,"650MB / 372MB","0B / 0B",31
1740726930,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.41%,"104.8MiB / 15.51GiB",0.66%,"988MB / 1.15GB","0B / 0B",40
1740726930,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,15.74%,"2.413GiB / 15.51GiB",15.56%,"517MB / 598MB","0B / 0B",864
1740726930,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.83%,"803.8MiB / 15.51GiB",5.06%,"58.5MB / 101MB","0B / 0B",254
1740726930,e192d5341051,reverse-proxy-api-1,e192d5341051,93.72%,"166.4MiB / 1GiB",16.25%,"651MB / 372MB","0B / 0B",29
1740726940,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,3.28%,"104.8MiB / 15.51GiB",0.66%,"989MB / 1.15GB","0B / 0B",40
1740726940,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,25.43%,"2.419GiB / 15.51GiB",15.60%,"517MB / 598MB","0B / 0B",862
1740726940,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.99%,"804.2MiB / 15.51GiB",5.06%,"58.6MB / 101MB","0B / 0B",251
1740726940,e192d5341051,reverse-proxy-api-1,e192d5341051,93.91%,"164.8MiB / 1GiB",16.09%,"651MB / 372MB","0B / 0B",28
1740726952,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,4.38%,"104.8MiB / 15.51GiB",0.66%,"990MB / 1.15GB","0B / 0B",40
