Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740725219,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.35%,"101MiB / 15.51GiB",0.64%,"668MB / 778MB","0B / 0B",40
1740725219,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,0.19%,"265.2MiB / 15.51GiB",1.67%,"373MB / 403MB","0B / 0B",37
1740725219,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.42%,"805.8MiB / 15.51GiB",5.07%,"43MB / 96MB","0B / 0B",237
1740725219,e192d5341051,reverse-proxy-api-1,e192d5341051,0.17%,"162.9MiB / 1GiB",15.90%,"447MB / 258MB","0B / 0B",21
1740725232,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.11%,"101MiB / 15.51GiB",0.64%,"668MB / 778MB","0B / 0B",40
1740725232,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,22.79%,"2.209GiB / 15.51GiB",14.25%,"373MB / 403MB","0B / 0B",875
1740725232,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.16%,"808MiB / 15.51GiB",5.09%,"43.1MB / 96MB","0B / 0B",251
1740725232,e192d5341051,reverse-proxy-api-1,e192d5341051,0.13%,"162.9MiB / 1GiB",15.90%,"447MB / 258MB","0B / 0B",21
1740725241,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,4.67%,"100.2MiB / 15.51GiB",0.63%,"668MB / 779MB","0B / 0B",40
1740725241,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,86.67%,"2.378GiB / 15.51GiB",15.33%,"373MB / 404MB","0B / 0B",863
1740725241,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.96%,"808.8MiB / 15.51GiB",5.09%,"43.3MB / 96.1MB","0B / 0B",251
1740725241,e192d5341051,reverse-proxy-api-1,e192d5341051,65.87%,"166.1MiB / 1GiB",16.22%,"448MB / 258MB","0B / 0B",26
