timestamp,ac,accepts,handled,requests,reading,writing,waiting
2025-03-06 17:23:08,2,3,3,3,0,1,1
2025-03-06 17:23:16,2,4,4,4,0,1,1
2025-03-06 17:23:26,2,518,518,518,0,1,1
2025-03-06 17:23:36,2,2663,2663,2663,0,1,1
2025-03-06 17:23:46,2,6483,6483,6483,0,1,1
2025-03-06 17:23:55,3,11992,11992,11992,0,1,2
2025-03-06 17:24:05,2,19131,19131,19131,0,1,1
2025-03-06 17:24:15,4,27953,27953,27953,0,1,3
2025-03-06 17:25:12,3,52117,52117,52117,0,1,2
2025-03-06 17:25:20,2,54164,54164,54164,0,1,1
2025-03-06 17:25:30,2,54165,54165,54165,0,1,1
2025-03-06 17:25:40,2,54166,54166,54166,0,1,1
2025-03-06 17:25:50,2,54167,54167,54167,0,1,1
2025-03-06 17:25:59,2,54168,54168,54168,0,1,1
2025-03-06 17:26:09,2,54169,54169,54169,0,1,1
2025-03-06 17:26:19,2,54170,54170,54170,0,1,1
2025-03-06 17:26:27,2,54171,54171,54171,0,1,1
2025-03-06 17:26:37,2,54172,54172,54172,0,1,1
2025-03-06 17:26:47,2,54173,54173,54173,0,1,1
2025-03-06 17:26:56,2,54174,54174,54174,0,1,1
2025-03-06 17:27:06,2,54175,54175,54175,0,1,1
2025-03-06 17:27:16,2,54176,54176,54176,0,1,1
2025-03-06 17:27:24,2,54177,54177,54177,0,1,1
2025-03-06 17:27:34,2,54178,54178,54178,0,1,1
2025-03-06 17:27:44,2,54179,54179,54179,0,1,1
2025-03-06 17:29:46,1,2,2,2,0,1,0
2025-03-06 17:29:56,2,6,6,5,0,1,1
2025-03-06 17:30:04,2,7,7,6,0,1,1
2025-03-06 17:30:14,2,260,260,259,0,1,1
2025-03-06 17:30:24,2,2001,2001,2000,0,1,1
2025-03-06 17:30:33,2,5405,5405,5404,0,1,1
2025-03-06 17:30:43,2,10496,10496,10495,0,1,1
2025-03-06 17:30:53,1,17249,17249,17248,0,1,0
2025-03-06 17:31:01,2,25647,25647,25645,0,1,1
2025-03-06 17:31:11,1,35516,35516,35515,0,1,0
2025-03-06 17:31:21,1,45506,45506,45505,0,1,0
2025-03-06 17:31:31,1,55517,55517,55516,0,1,0
2025-03-06 17:31:40,1,65498,65498,65497,0,1,0
2025-03-06 17:31:50,1,75506,75506,75505,0,1,0
2025-03-06 17:32:00,1,85495,85495,85494,0,1,0
2025-03-06 17:32:08,1,88970,88970,88969,0,1,0
2025-03-06 17:32:18,1,88971,88971,88970,0,1,0
2025-03-06 17:34:07,2,2,2,2,0,1,1
2025-03-06 17:34:16,2,3,3,3,0,1,1
2025-03-06 17:34:26,2,4,4,4,0,1,1
2025-03-06 17:34:36,2,5,5,5,0,1,1
2025-03-06 17:34:44,2,187,187,187,0,1,1
2025-03-06 17:34:54,2,1818,1818,1818,0,1,1
2025-03-06 17:35:04,2,5095,5095,5095,0,1,1
2025-03-06 17:35:13,2,10074,10074,10074,0,1,1
2025-03-06 17:35:23,2,16716,16716,16716,0,1,1
2025-03-06 17:35:33,3,24989,24989,24989,0,1,2
2025-03-06 17:36:30,2,49504,49504,49504,0,1,1
2025-03-06 17:36:40,2,53846,53846,53846,0,1,1
2025-03-06 17:36:48,2,53847,53847,53847,0,1,1
2025-03-06 17:36:58,2,53848,53848,53848,0,1,1
2025-03-06 17:37:08,2,53849,53849,53849,0,1,1
2025-03-06 17:37:17,2,53850,53850,53850,0,1,1
