DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 07:14:06,40,37,0,1037.892,84.094,18.5,6,111,0,0,3.216,31.676
2025-02-28 07:14:08,70,89,0,1048.067,74.358,44.5,6,267,0,0,0.618,41.494
2025-02-28 07:14:10,92,124,0,1184.008,87.287,62,6,372,0,0,0.718,182.282
2025-02-28 07:14:12,174,333,0,1817.673,546.683,166.5,6,999,0,0,0.703,411.694
2025-02-28 07:14:14,203,130,0,2533.2,762.909,65,6,390,0,0,0.654,1542.438
2025-02-28 07:14:16,233,122,0,2755.492,994.744,61,6,366,0,0,0.648,1760.59
2025-02-28 07:14:18,263,125,0,3214.904,1154.298,62.5,6,375,0,0,0.728,2212.328
2025-02-28 07:14:20,291,128,0,3294.523,1605.842,64,6,384,0,0,0.656,2293.508
2025-02-28 07:14:22,320,121,0,4008.132,1695.004,60.5,6,363,0,0,0.603,3013.025
2025-02-28 07:14:24,349,126,0,4279.032,1895.347,63,6,378,0,0,0.69,3274.619
2025-02-28 07:14:26,379,131,0,4602.397,2052.112,65.5,6,393,0,0,0.588,3606.58
2025-02-28 07:14:28,409,119,0,4888.168,2295.047,59.5,6,357,0,0,0.655,3932.706
2025-02-28 07:14:30,437,130,0,5425.915,2417.817,65,6,390,0,0,0.577,4382.946
2025-02-28 07:14:32,440,122,0,5616.172,2715.603,61,6,366,0,0,0.697,4616.77
2025-02-28 07:14:34,440,124,0,5882.629,2950.933,62,6,372,0,0,0.677,4885
2025-02-28 07:14:36,440,124,0,6308.129,3143.157,62,6,372,0,0,0.589,5313.097
2025-02-28 07:14:38,440,124,0,6163.032,3736.54,62,6,372,0,0,0.782,5156.887
2025-02-28 07:14:40,440,226,0,7325.336,3653.459,113,6,678,0,0,0.562,5567.128
2025-02-28 07:14:42,440,153,0,7169.209,3754.254,76.5,6,459,0,0,0.614,4686.105
2025-02-28 07:14:44,440,125,0,6315.472,3972.73,62.5,6,375,0,0,0.696,4012.032
2025-02-28 07:14:46,440,131,0,7202.229,3717.488,65.5,6,393,0,0,0.595,4698.802
2025-02-28 07:14:48,440,123,0,7575.764,3570.304,61.5,6,369,0,0,0.545,6400.61
2025-02-28 07:14:50,440,123,0,7185.138,3716.253,61.5,6,369,0,0,0.699,6180.699
2025-02-28 07:14:52,440,127,0,6673.142,3846.954,63.5,6,381,0,0,0.606,5666.622
2025-02-28 07:14:54,440,124,0,6920.379,3729.558,62,6,372,0,0,0.645,5910.984
2025-02-28 07:14:56,440,128,0,7095.492,3683.745,64,6,384,0,0,0.586,6098.852
2025-02-28 07:14:58,440,124,0,7224.968,3641.9,62,6,372,0,0,0.661,6217.71
2025-02-28 07:15:00,440,123,0,7120.293,3689.131,61.5,6,369,0,0,0.569,6122.024
2025-02-28 07:15:02,440,126,0,6685.849,3823.137,63,6,378,0,0,0.603,5683.214
2025-02-28 07:15:04,440,126,0,7080.484,3656.426,63,6,378,0,0,0.659,6084.349
2025-02-28 07:15:06,440,127,0,7159.913,3703.97,63.5,6,381,0,0,0.622,6163.283
2025-02-28 07:15:08,440,122,0,7069.082,3749.701,61,6,366,0,0,0.574,6078.164
2025-02-28 07:15:10,440,140,0,6838.421,3838.112,70,6,420,0,0,0.636,5583.864
2025-02-28 07:15:12,440,228,0,7068.535,3796.387,114,6,684,0,0,0.592,4554.496
2025-02-28 07:15:14,440,130,0,7282.392,3689.904,65,6,390,0,0,0.692,4706.308
2025-02-28 07:15:16,440,128,0,7024.438,3791.162,64,6,384,0,0,0.711,4500.086
2025-02-28 07:15:18,440,122,0,6882.721,3825.957,61,6,366,0,0,0.672,5553.156
2025-02-28 07:15:20,440,128,0,7047.422,3741.303,64,6,384,0,0,0.695,6045.594
2025-02-28 07:15:22,440,121,0,6927.207,3815.59,60.5,6,363,0,0,0.636,5911.793
2025-02-28 07:15:24,440,131,0,7390.527,3538.319,65.5,6,393,0,0,0.679,6383.557
2025-02-28 07:15:26,440,128,0,6687.797,3860.294,64,6,384,0,0,0.625,5689.758
2025-02-28 07:15:28,440,115,0,7032.078,3703.668,57.5,6,345,0,0,0.47,6020.957
2025-02-28 07:15:30,440,130,0,7048.508,3713.272,65,6,390,0,0,0.546,6046.954
2025-02-28 07:15:32,440,125,0,7114.832,3699.067,62.5,6,375,0,0,0.56,6112.648
2025-02-28 07:15:34,440,124,0,7108.766,3733.719,62,6,372,0,0,0.556,6119
2025-02-28 07:15:36,440,122,0,6887.869,3826.909,61,6,366,0,0,0.598,5884.279
2025-02-28 07:15:38,440,131,0,6981.649,3781.723,65.5,6,393,0,0,0.611,5986.985
2025-02-28 07:15:40,440,124,0,7241.218,3662.23,62,6,372,0,0,0.605,6248.589
2025-02-28 07:15:42,440,242,0,7003.198,3826.12,121,6,726,0,0,0.583,4606.459
2025-02-28 07:15:44,440,123,0,6932.984,3856.577,61.5,6,369,0,0,0.585,4465.163
2025-02-28 07:15:46,440,125,0,7318.968,3698.589,62.5,6,375,0,0,0.6,4751.712
2025-02-28 07:15:48,440,123,0,7225.634,3742.853,61.5,6,369,0,0,0.585,5569
2025-02-28 07:15:50,440,122,0,7053.566,3786.476,61,6,366,0,0,0.689,6053.443
2025-02-28 07:15:52,440,128,0,7053.352,3760.321,64,6,384,0,0,0.617,6054.766
2025-02-28 07:15:54,440,121,0,7127.099,3716.833,60.5,6,363,0,0,0.562,6138.231
2025-02-28 07:15:56,440,126,0,7124.825,3772.232,63,6,378,0,0,0.627,6119.643
