DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 06:27:35,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.09%,"109.3MiB / 15.51GiB",0.69%,"904MB / 1.06GB","0B / 0B",40
2025-03-04 06:27:35,568208e4829c,reverse-proxy-agent-1,568208e4829c,1122.72%,"2.704GiB / 15.51GiB",17.44%,"466MB / 529MB","0B / 0B",2096
2025-03-04 06:27:35,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.02%,"888.2MiB / 15.51GiB",5.59%,"50MB / 101MB","0B / 0B",271
2025-03-04 06:27:35,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.10%,"203.8MiB / 1GiB",19.90%,"633MB / 370MB","0B / 0B",60
2025-03-04 06:27:47,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.78%,"118.1MiB / 15.51GiB",0.74%,"909MB / 1.07GB","0B / 0B",40
2025-03-04 06:27:47,568208e4829c,reverse-proxy-agent-1,568208e4829c,69.91%,"2.651GiB / 15.51GiB",17.09%,"468MB / 532MB","0B / 0B",2049
2025-03-04 06:27:47,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.57%,"889.1MiB / 15.51GiB",5.60%,"50.1MB / 101MB","0B / 0B",271
2025-03-04 06:27:47,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.08%,"238.3MiB / 1GiB",23.27%,"637MB / 373MB","0B / 0B",60
2025-03-04 06:27:58,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.02%,"118.4MiB / 15.51GiB",0.75%,"914MB / 1.07GB","0B / 0B",40
2025-03-04 06:27:58,568208e4829c,reverse-proxy-agent-1,568208e4829c,45.16%,"2.734GiB / 15.51GiB",17.63%,"470MB / 534MB","0B / 0B",2031
2025-03-04 06:27:58,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.63%,"889.7MiB / 15.51GiB",5.60%,"50.3MB / 101MB","0B / 0B",271
2025-03-04 06:27:58,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,145.79%,"242MiB / 1GiB",23.63%,"640MB / 375MB","0B / 0B",60
2025-03-04 06:28:10,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,49.67%,"119.3MiB / 15.51GiB",0.75%,"919MB / 1.08GB","0B / 0B",40
2025-03-04 06:28:10,568208e4829c,reverse-proxy-agent-1,568208e4829c,67.35%,"2.851GiB / 15.51GiB",18.38%,"472MB / 537MB","0B / 0B",2031
2025-03-04 06:28:10,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.67%,"890.7MiB / 15.51GiB",5.61%,"50.4MB / 101MB","0B / 0B",271
2025-03-04 06:28:10,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,141.69%,"243.8MiB / 1GiB",23.81%,"644MB / 377MB","0B / 0B",60
2025-03-04 06:28:22,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,52.31%,"120MiB / 15.51GiB",0.76%,"923MB / 1.09GB","0B / 0B",40
2025-03-04 06:28:22,568208e4829c,reverse-proxy-agent-1,568208e4829c,72.40%,"2.945GiB / 15.51GiB",18.99%,"474MB / 539MB","0B / 0B",2031
2025-03-04 06:28:22,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,11.58%,"857.9MiB / 15.51GiB",5.40%,"50.6MB / 101MB","0B / 0B",268
2025-03-04 06:28:22,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,140.26%,"249.4MiB / 1GiB",24.36%,"647MB / 378MB","0B / 0B",60
2025-03-04 06:28:34,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,48.86%,"120.3MiB / 15.51GiB",0.76%,"928MB / 1.09GB","0B / 0B",40
2025-03-04 06:28:34,568208e4829c,reverse-proxy-agent-1,568208e4829c,46.86%,"3.02GiB / 15.51GiB",19.47%,"476MB / 542MB","0B / 0B",2031
2025-03-04 06:28:34,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.91%,"858.1MiB / 15.51GiB",5.40%,"50.7MB / 101MB","0B / 0B",267
2025-03-04 06:28:34,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,141.03%,"256.7MiB / 1GiB",25.07%,"650MB / 380MB","0B / 0B",60
2025-03-04 06:28:46,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.19%,"120.4MiB / 15.51GiB",0.76%,"933MB / 1.1GB","0B / 0B",40
2025-03-04 06:28:46,568208e4829c,reverse-proxy-agent-1,568208e4829c,36.79%,"3.118GiB / 15.51GiB",20.10%,"478MB / 545MB","0B / 0B",2032
2025-03-04 06:28:46,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.87%,"858.7MiB / 15.51GiB",5.41%,"50.9MB / 101MB","0B / 0B",267
2025-03-04 06:28:46,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.34%,"242.2MiB / 1GiB",23.66%,"654MB / 382MB","0B / 0B",60
2025-03-04 06:28:58,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.99%,"119.9MiB / 15.51GiB",0.76%,"937MB / 1.1GB","0B / 0B",40
2025-03-04 06:28:58,568208e4829c,reverse-proxy-agent-1,568208e4829c,41.74%,"3.243GiB / 15.51GiB",20.91%,"480MB / 547MB","0B / 0B",2031
2025-03-04 06:28:58,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.84%,"859.3MiB / 15.51GiB",5.41%,"51MB / 101MB","0B / 0B",267
2025-03-04 06:28:58,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,139.95%,"231.9MiB / 1GiB",22.64%,"657MB / 384MB","0B / 0B",60
2025-03-04 06:29:09,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.25%,"120.2MiB / 15.51GiB",0.76%,"942MB / 1.11GB","0B / 0B",40
2025-03-04 06:29:09,568208e4829c,reverse-proxy-agent-1,568208e4829c,61.65%,"3.384GiB / 15.51GiB",21.82%,"482MB / 550MB","0B / 0B",2031
2025-03-04 06:29:09,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.81%,"860.2MiB / 15.51GiB",5.42%,"51.2MB / 101MB","0B / 0B",267
2025-03-04 06:29:09,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.13%,"227.8MiB / 1GiB",22.25%,"660MB / 386MB","0B / 0B",60
2025-03-04 06:29:21,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,46.81%,"120.2MiB / 15.51GiB",0.76%,"947MB / 1.11GB","0B / 0B",40
2025-03-04 06:29:21,568208e4829c,reverse-proxy-agent-1,568208e4829c,29.70%,"3.532GiB / 15.51GiB",22.78%,"484MB / 553MB","0B / 0B",2031
2025-03-04 06:29:21,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.32%,"860.8MiB / 15.51GiB",5.42%,"51.4MB / 101MB","0B / 0B",267
2025-03-04 06:29:21,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.57%,"227.3MiB / 1GiB",22.20%,"664MB / 388MB","0B / 0B",60
2025-03-04 06:29:33,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,2.46%,"114.2MiB / 15.51GiB",0.72%,"950MB / 1.12GB","0B / 0B",40
2025-03-04 06:29:33,568208e4829c,reverse-proxy-agent-1,568208e4829c,31.76%,"273.5MiB / 15.51GiB",1.72%,"485MB / 555MB","0B / 0B",46
2025-03-04 06:29:33,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,3.92%,"860.4MiB / 15.51GiB",5.42%,"51.6MB / 102MB","0B / 0B",255
2025-03-04 06:29:33,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,39.73%,"207.2MiB / 1GiB",20.24%,"666MB / 390MB","0B / 0B",60
