DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 06:21:44,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.09%,"108.6MiB / 15.51GiB",0.68%,"857MB / 1.01GB","0B / 0B",40
2025-03-04 06:21:44,568208e4829c,reverse-proxy-agent-1,568208e4829c,1513.14%,"2.158GiB / 15.51GiB",13.92%,"447MB / 503MB","0B / 0B",736
2025-03-04 06:21:44,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.82%,"865.4MiB / 15.51GiB",5.45%,"48MB / 100MB","0B / 0B",269
2025-03-04 06:21:44,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.11%,"188.3MiB / 1GiB",18.39%,"599MB / 351MB","0B / 0B",29
2025-03-04 06:21:56,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.40%,"111.7MiB / 15.51GiB",0.70%,"861MB / 1.01GB","0B / 0B",40
2025-03-04 06:21:56,568208e4829c,reverse-proxy-agent-1,568208e4829c,61.65%,"2.354GiB / 15.51GiB",15.18%,"449MB / 506MB","0B / 0B",993
2025-03-04 06:21:56,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.70%,"866.3MiB / 15.51GiB",5.46%,"48.1MB / 100MB","0B / 0B",269
2025-03-04 06:21:56,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,139.29%,"218MiB / 1GiB",21.28%,"603MB / 353MB","0B / 0B",60
2025-03-04 06:22:08,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,14.22%,"112.4MiB / 15.51GiB",0.71%,"866MB / 1.02GB","0B / 0B",40
2025-03-04 06:22:08,568208e4829c,reverse-proxy-agent-1,568208e4829c,44.55%,"2.396GiB / 15.51GiB",15.45%,"451MB / 508MB","0B / 0B",970
2025-03-04 06:22:08,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.67%,"867.1MiB / 15.51GiB",5.46%,"48.3MB / 100MB","0B / 0B",269
2025-03-04 06:22:08,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.09%,"215.9MiB / 1GiB",21.09%,"606MB / 355MB","0B / 0B",60
2025-03-04 06:22:19,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.29%,"113MiB / 15.51GiB",0.71%,"871MB / 1.02GB","0B / 0B",40
2025-03-04 06:22:19,568208e4829c,reverse-proxy-agent-1,568208e4829c,100.68%,"2.551GiB / 15.51GiB",16.45%,"453MB / 511MB","0B / 0B",970
2025-03-04 06:22:19,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.59%,"867.7MiB / 15.51GiB",5.46%,"48.5MB / 100MB","0B / 0B",269
2025-03-04 06:22:19,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.51%,"219.4MiB / 1GiB",21.43%,"610MB / 357MB","0B / 0B",60
2025-03-04 06:22:31,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,50.80%,"113.5MiB / 15.51GiB",0.71%,"876MB / 1.03GB","0B / 0B",40
2025-03-04 06:22:31,568208e4829c,reverse-proxy-agent-1,568208e4829c,42.78%,"2.629GiB / 15.51GiB",16.95%,"455MB / 513MB","0B / 0B",971
2025-03-04 06:22:31,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.75%,"868.2MiB / 15.51GiB",5.47%,"48.7MB / 101MB","0B / 0B",269
2025-03-04 06:22:31,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.38%,"218.4MiB / 1GiB",21.33%,"613MB / 359MB","0B / 0B",60
2025-03-04 06:22:42,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,55.20%,"114.2MiB / 15.51GiB",0.72%,"881MB / 1.04GB","0B / 0B",40
2025-03-04 06:22:42,568208e4829c,reverse-proxy-agent-1,568208e4829c,49.90%,"2.698GiB / 15.51GiB",17.40%,"457MB / 516MB","0B / 0B",970
2025-03-04 06:22:42,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.68%,"869.3MiB / 15.51GiB",5.47%,"48.8MB / 101MB","0B / 0B",268
2025-03-04 06:22:42,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.89%,"222.8MiB / 1GiB",21.76%,"616MB / 361MB","0B / 0B",60
2025-03-04 06:22:54,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.04%,"114.2MiB / 15.51GiB",0.72%,"885MB / 1.04GB","0B / 0B",40
2025-03-04 06:22:54,568208e4829c,reverse-proxy-agent-1,568208e4829c,46.55%,"2.763GiB / 15.51GiB",17.82%,"458MB / 518MB","0B / 0B",970
2025-03-04 06:22:54,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.65%,"869.8MiB / 15.51GiB",5.48%,"49MB / 101MB","0B / 0B",268
2025-03-04 06:22:54,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,138.78%,"224.5MiB / 1GiB",21.92%,"620MB / 363MB","0B / 0B",60
2025-03-04 06:23:07,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.06%,"114.3MiB / 15.51GiB",0.72%,"890MB / 1.05GB","0B / 0B",40
2025-03-04 06:23:07,568208e4829c,reverse-proxy-agent-1,568208e4829c,33.85%,"2.787GiB / 15.51GiB",17.97%,"460MB / 521MB","0B / 0B",970
2025-03-04 06:23:07,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.07%,"870.6MiB / 15.51GiB",5.48%,"49.2MB / 101MB","0B / 0B",268
2025-03-04 06:23:07,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,140.67%,"226MiB / 1GiB",22.07%,"623MB / 365MB","0B / 0B",60
2025-03-04 06:23:18,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,12.42%,"114MiB / 15.51GiB",0.72%,"895MB / 1.05GB","0B / 0B",40
2025-03-04 06:23:18,568208e4829c,reverse-proxy-agent-1,568208e4829c,31.59%,"2.899GiB / 15.51GiB",18.69%,"462MB / 524MB","0B / 0B",970
2025-03-04 06:23:18,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.87%,"871.2MiB / 15.51GiB",5.49%,"49.3MB / 101MB","0B / 0B",268
2025-03-04 06:23:18,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.82%,"219.9MiB / 1GiB",21.48%,"627MB / 367MB","0B / 0B",60
2025-03-04 06:23:30,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,50.76%,"114.4MiB / 15.51GiB",0.72%,"900MB / 1.06GB","0B / 0B",40
2025-03-04 06:23:30,568208e4829c,reverse-proxy-agent-1,568208e4829c,39.89%,"3.033GiB / 15.51GiB",19.56%,"464MB / 526MB","0B / 0B",970
2025-03-04 06:23:30,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.93%,"871.8MiB / 15.51GiB",5.49%,"49.5MB / 101MB","0B / 0B",268
2025-03-04 06:23:30,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,142.08%,"216.8MiB / 1GiB",21.17%,"630MB / 369MB","0B / 0B",60
2025-03-04 06:23:42,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.14%,"113.7MiB / 15.51GiB",0.72%,"904MB / 1.06GB","0B / 0B",40
2025-03-04 06:23:42,568208e4829c,reverse-proxy-agent-1,568208e4829c,15.94%,"273.4MiB / 15.51GiB",1.72%,"466MB / 529MB","0B / 0B",46
2025-03-04 06:23:42,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,18.79%,"872.9MiB / 15.51GiB",5.50%,"49.7MB / 101MB","0B / 0B",269
2025-03-04 06:23:42,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.15%,"203.8MiB / 1GiB",19.91%,"633MB / 370MB","0B / 0B",60
2025-03-04 06:23:53,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.11%,"112.9MiB / 15.51GiB",0.71%,"904MB / 1.06GB","0B / 0B",40
2025-03-04 06:23:53,568208e4829c,reverse-proxy-agent-1,568208e4829c,0.12%,"273.3MiB / 15.51GiB",1.72%,"466MB / 529MB","0B / 0B",46
2025-03-04 06:23:53,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.65%,"872.2MiB / 15.51GiB",5.49%,"49.7MB / 101MB","0B / 0B",257
2025-03-04 06:23:53,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.12%,"203.8MiB / 1GiB",19.90%,"633MB / 370MB","0B / 0B",60
