DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 04:51:37,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.11%,"110.5MiB / 15.51GiB",0.70%,"303MB / 356MB","0B / 0B",40
2025-03-04 04:51:37,568208e4829c,reverse-proxy-agent-1,568208e4829c,1577.32%,"1.782GiB / 15.51GiB",11.49%,"212MB / 180MB","0B / 0B",448
2025-03-04 04:51:37,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.93%,"894.4MiB / 15.51GiB",5.63%,"19.4MB / 88.4MB","0B / 0B",254
2025-03-04 04:51:37,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,0.12%,"194.6MiB / 1GiB",19.00%,"212MB / 124MB","0B / 0B",39
2025-03-04 04:51:49,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,5.07%,"111.2MiB / 15.51GiB",0.70%,"303MB / 356MB","0B / 0B",40
2025-03-04 04:51:49,568208e4829c,reverse-proxy-agent-1,568208e4829c,58.71%,"2.521GiB / 15.51GiB",16.26%,"212MB / 181MB","0B / 0B",1653
2025-03-04 04:51:49,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.94%,"895.3MiB / 15.51GiB",5.64%,"19.6MB / 88.4MB","0B / 0B",254
2025-03-04 04:51:49,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,71.85%,"192.8MiB / 1GiB",18.83%,"212MB / 124MB","0B / 0B",27
2025-03-04 04:52:01,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,9.72%,"111.1MiB / 15.51GiB",0.70%,"306MB / 360MB","0B / 0B",40
2025-03-04 04:52:01,568208e4829c,reverse-proxy-agent-1,568208e4829c,86.48%,"2.563GiB / 15.51GiB",16.53%,"213MB / 183MB","0B / 0B",1650
2025-03-04 04:52:01,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.84%,"896MiB / 15.51GiB",5.64%,"19.7MB / 88.5MB","0B / 0B",254
2025-03-04 04:52:01,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,122.23%,"201.5MiB / 1GiB",19.68%,"214MB / 125MB","0B / 0B",34
2025-03-04 04:52:13,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,11.30%,"112.5MiB / 15.51GiB",0.71%,"311MB / 365MB","0B / 0B",40
2025-03-04 04:52:13,568208e4829c,reverse-proxy-agent-1,568208e4829c,49.50%,"2.616GiB / 15.51GiB",16.87%,"215MB / 185MB","0B / 0B",1630
2025-03-04 04:52:13,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.91%,"896.8MiB / 15.51GiB",5.65%,"19.9MB / 88.5MB","0B / 0B",254
2025-03-04 04:52:13,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,145.97%,"226.8MiB / 1GiB",22.15%,"217MB / 127MB","0B / 0B",60
2025-03-04 04:52:25,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.27%,"114.7MiB / 15.51GiB",0.72%,"316MB / 371MB","0B / 0B",40
2025-03-04 04:52:25,568208e4829c,reverse-proxy-agent-1,568208e4829c,87.48%,"2.751GiB / 15.51GiB",17.74%,"218MB / 188MB","0B / 0B",1630
2025-03-04 04:52:25,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.89%,"897.5MiB / 15.51GiB",5.65%,"20.1MB / 88.6MB","0B / 0B",254
2025-03-04 04:52:25,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,143.32%,"243.7MiB / 1GiB",23.80%,"221MB / 129MB","0B / 0B",60
2025-03-04 04:52:37,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,37.60%,"116.5MiB / 15.51GiB",0.73%,"321MB / 377MB","0B / 0B",40
2025-03-04 04:52:37,568208e4829c,reverse-proxy-agent-1,568208e4829c,61.04%,"2.916GiB / 15.51GiB",18.80%,"220MB / 191MB","0B / 0B",1630
2025-03-04 04:52:37,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.72%,"898.3MiB / 15.51GiB",5.66%,"20.3MB / 88.6MB","0B / 0B",254
2025-03-04 04:52:37,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,146.12%,"242.6MiB / 1GiB",23.69%,"224MB / 131MB","0B / 0B",60
2025-03-04 04:52:49,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,34.53%,"117.2MiB / 15.51GiB",0.74%,"325MB / 382MB","0B / 0B",40
2025-03-04 04:52:49,568208e4829c,reverse-proxy-agent-1,568208e4829c,58.87%,"3.015GiB / 15.51GiB",19.44%,"221MB / 193MB","0B / 0B",1630
2025-03-04 04:52:49,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.91%,"899.1MiB / 15.51GiB",5.66%,"20.4MB / 88.7MB","0B / 0B",254
2025-03-04 04:52:49,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,138.75%,"237.8MiB / 1GiB",23.22%,"227MB / 133MB","0B / 0B",60
2025-03-04 04:53:01,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.25%,"115.4MiB / 15.51GiB",0.73%,"330MB / 387MB","0B / 0B",40
2025-03-04 04:53:01,568208e4829c,reverse-proxy-agent-1,568208e4829c,92.19%,"3.127GiB / 15.51GiB",20.16%,"223MB / 196MB","0B / 0B",1630
2025-03-04 04:53:01,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.89%,"899.7MiB / 15.51GiB",5.67%,"20.6MB / 88.8MB","0B / 0B",254
2025-03-04 04:53:01,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,134.39%,"234MiB / 1GiB",22.86%,"230MB / 135MB","0B / 0B",60
2025-03-04 04:53:13,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,10.35%,"113.1MiB / 15.51GiB",0.71%,"334MB / 392MB","0B / 0B",40
2025-03-04 04:53:13,568208e4829c,reverse-proxy-agent-1,568208e4829c,31.49%,"3.212GiB / 15.51GiB",20.71%,"226MB / 200MB","0B / 0B",1631
2025-03-04 04:53:13,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.38%,"900.7MiB / 15.51GiB",5.67%,"20.8MB / 88.8MB","0B / 0B",254
