Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740726182,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.13%,"101.9MiB / 15.51GiB",0.64%,"874MB / 1.02GB","0B / 0B",40
1740726182,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,0.10%,"265.5MiB / 15.51GiB",1.67%,"466MB / 529MB","0B / 0B",37
1740726182,b424db67d982,reverse-proxy-controller-1,b424db67d982,1.34%,"801.3MiB / 15.51GiB",5.05%,"52.3MB / 99MB","0B / 0B",239
1740726182,e192d5341051,reverse-proxy-api-1,e192d5341051,0.08%,"157.6MiB / 1GiB",15.39%,"577MB / 330MB","0B / 0B",21
1740726194,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,0.12%,"102MiB / 15.51GiB",0.64%,"874MB / 1.02GB","0B / 0B",40
1740726194,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,46.50%,"2.167GiB / 15.51GiB",13.97%,"466MB / 529MB","0B / 0B",876
1740726194,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.76%,"803.6MiB / 15.51GiB",5.06%,"52.4MB / 99.1MB","0B / 0B",253
1740726194,e192d5341051,reverse-proxy-api-1,e192d5341051,0.14%,"157.6MiB / 1GiB",15.39%,"577MB / 330MB","0B / 0B",21
1740726204,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,5.45%,"102.2MiB / 15.51GiB",0.64%,"875MB / 1.02GB","0B / 0B",40
1740726204,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,58.69%,"2.317GiB / 15.51GiB",14.94%,"466MB / 529MB","0B / 0B",883
1740726204,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.62%,"804.4MiB / 15.51GiB",5.07%,"52.5MB / 99.1MB","0B / 0B",253
1740726204,e192d5341051,reverse-proxy-api-1,e192d5341051,66.74%,"159.5MiB / 1GiB",15.58%,"578MB / 330MB","0B / 0B",26
1740726216,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,8.59%,"102.1MiB / 15.51GiB",0.64%,"878MB / 1.02GB","0B / 0B",40
1740726216,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,52.32%,"2.418GiB / 15.51GiB",15.59%,"468MB / 531MB","0B / 0B",865
1740726216,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.78%,"805MiB / 15.51GiB",5.07%,"52.7MB / 99.2MB","0B / 0B",253
1740726216,e192d5341051,reverse-proxy-api-1,e192d5341051,106.70%,"162.2MiB / 1GiB",15.84%,"579MB / 331MB","0B / 0B",35
1740726228,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.50%,"103MiB / 15.51GiB",0.65%,"882MB / 1.02GB","0B / 0B",40
1740726228,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,44.60%,"2.455GiB / 15.51GiB",15.83%,"470MB / 534MB","0B / 0B",861
1740726228,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.87%,"805.8MiB / 15.51GiB",5.07%,"52.8MB / 99.2MB","0B / 0B",253
1740726228,e192d5341051,reverse-proxy-api-1,e192d5341051,123.02%,"181.4MiB / 1GiB",17.71%,"582MB / 333MB","0B / 0B",60
1740726238,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.68%,"103.4MiB / 15.51GiB",0.65%,"886MB / 1.03GB","0B / 0B",40
1740726238,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,56.52%,"2.452GiB / 15.51GiB",15.81%,"471MB / 536MB","0B / 0B",861
1740726238,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.79%,"806.4MiB / 15.51GiB",5.08%,"53MB / 99.3MB","0B / 0B",253
1740726238,e192d5341051,reverse-proxy-api-1,e192d5341051,130.70%,"171.9MiB / 1GiB",16.79%,"585MB / 334MB","0B / 0B",53
1740726250,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.59%,"103.9MiB / 15.51GiB",0.65%,"891MB / 1.03GB","0B / 0B",40
1740726250,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,49.13%,"2.545GiB / 15.51GiB",16.41%,"473MB / 539MB","0B / 0B",861
1740726250,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.85%,"806.9MiB / 15.51GiB",5.08%,"53.2MB / 99.3MB","0B / 0B",253
1740726250,e192d5341051,reverse-proxy-api-1,e192d5341051,130.98%,"180.2MiB / 1GiB",17.59%,"588MB / 336MB","0B / 0B",60
1740726262,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,12.65%,"104.3MiB / 15.51GiB",0.66%,"895MB / 1.04GB","0B / 0B",40
1740726262,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,33.73%,"2.622GiB / 15.51GiB",16.91%,"475MB / 541MB","0B / 0B",861
1740726262,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.74%,"807.5MiB / 15.51GiB",5.09%,"53.3MB / 99.4MB","0B / 0B",251
1740726262,e192d5341051,reverse-proxy-api-1,e192d5341051,132.63%,"172.3MiB / 1GiB",16.82%,"590MB / 338MB","0B / 0B",60
1740726272,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,32.64%,"104.7MiB / 15.51GiB",0.66%,"899MB / 1.04GB","0B / 0B",40
1740726272,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,34.05%,"2.739GiB / 15.51GiB",17.66%,"477MB / 544MB","0B / 0B",861
1740726272,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.77%,"808.3MiB / 15.51GiB",5.09%,"53.5MB / 99.4MB","0B / 0B",251
1740726272,e192d5341051,reverse-proxy-api-1,e192d5341051,133.24%,"184.3MiB / 1GiB",18.00%,"593MB / 339MB","0B / 0B",60
1740726284,d8e4d40d4b71,reverse-proxy-nginx-proxy-1,d8e4d40d4b71,11.19%,"104.4MiB / 15.51GiB",0.66%,"904MB / 1.05GB","0B / 0B",40
1740726284,c55daf28071e,reverse-proxy-agent-1,c55daf28071e,30.04%,"2.757GiB / 15.51GiB",17.78%,"479MB / 546MB","0B / 0B",861
1740726284,b424db67d982,reverse-proxy-controller-1,b424db67d982,0.70%,"809.1MiB / 15.51GiB",5.09%,"53.7MB / 99.4MB","0B / 0B",251
1740726284,e192d5341051,reverse-proxy-api-1,e192d5341051,127.23%,"176.1MiB / 1GiB",17.20%,"596MB / 341MB","0B / 0B",53
