DateTime,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-04 03:48:05,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,0.92%,"106.6MiB / 15.51GiB",0.67%,"219MB / 258MB","0B / 0B",39
2025-03-04 03:48:05,568208e4829c,reverse-proxy-agent-1,568208e4829c,60.68%,"2.51GiB / 15.51GiB",16.19%,"175MB / 129MB","0B / 0B",1840
2025-03-04 03:48:05,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,1.05%,"905.8MiB / 15.51GiB",5.70%,"14.4MB / 86.6MB","0B / 0B",251
2025-03-04 03:48:05,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,9.49%,"186.8MiB / 1GiB",18.24%,"154MB / 90.4MB","0B / 0B",21
2025-03-04 03:48:19,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,6.93%,"106.9MiB / 15.51GiB",0.67%,"220MB / 259MB","0B / 0B",39
2025-03-04 03:48:19,568208e4829c,reverse-proxy-agent-1,568208e4829c,67.81%,"2.548GiB / 15.51GiB",16.43%,"176MB / 130MB","0B / 0B",1855
2025-03-04 03:48:19,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.90%,"907.1MiB / 15.51GiB",5.71%,"14.5MB / 86.7MB","0B / 0B",251
2025-03-04 03:48:19,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,96.03%,"190MiB / 1GiB",18.55%,"155MB / 90.8MB","0B / 0B",32
2025-03-04 03:48:31,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,13.63%,"107.6MiB / 15.51GiB",0.68%,"224MB / 264MB","0B / 0B",39
2025-03-04 03:48:31,568208e4829c,reverse-proxy-agent-1,568208e4829c,81.86%,"2.598GiB / 15.51GiB",16.75%,"177MB / 132MB","0B / 0B",1845
2025-03-04 03:48:31,9c1c1b8cc435,reverse-proxy-controller-1,9c1c1b8cc435,0.80%,"908MiB / 15.51GiB",5.72%,"14.7MB / 86.7MB","0B / 0B",251
2025-03-04 03:48:31,cf7476f1ed45,reverse-proxy-api-1,cf7476f1ed45,144.78%,"220.4MiB / 1GiB",21.53%,"158MB / 92.1MB","0B / 0B",61
2025-03-04 03:48:43,12cedceaaf99,reverse-proxy-nginx-proxy-1,12cedceaaf99,14.71%,"109.3MiB / 15.51GiB",0.69%,"229MB / 270MB","0B / 0B",39
