DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 06:21:49,550,638,0,1442.961,247.498,319,6,1914,0,0,0.873,440.65
2025-03-04 06:21:51,550,950,0,1256.402,73.097,475,6,2850,0,0,0.346,256.277
2025-03-04 06:21:53,550,845,0,1264.905,69.218,422.5,6,2535,0,0,0.34,267.975
2025-03-04 06:21:55,550,823,0,1283.024,77.696,411.5,6,2469,0,0,0.35,278.791
2025-03-04 06:21:57,550,889,0,1303.709,73.755,444.5,6,2667,0,0,0.368,306.042
2025-03-04 06:21:59,550,824,0,1250.506,75.558,412,6,2472,0,0,0.296,249.512
2025-03-04 06:22:01,550,990,0,1229.484,73.738,495,6,2970,0,0,0.294,229.03
2025-03-04 06:22:03,550,851,0,1233.062,71.345,425.5,6,2553,0,0,0.254,233.368
2025-03-04 06:22:05,550,866,0,1227.237,70.537,433,6,2598,0,0,0.252,226.615
2025-03-04 06:22:07,550,955,0,1230.162,74.755,477.5,6,2865,0,0,0.223,232.041
2025-03-04 06:22:09,550,1329,0,1217.965,73.981,664.5,6,3987,0,0,0.245,166.609
2025-03-04 06:22:11,550,925,0,1199.745,72.375,462.5,6,2775,0,0,0.215,197.183
2025-03-04 06:22:13,550,980,0,1174.358,72.466,490,6,2940,0,0,0.212,177.189
2025-03-04 06:22:15,550,882,0,1197.48,71.95,441,6,2646,0,0,0.209,196.531
2025-03-04 06:22:17,550,909,0,1187.534,69.866,454.5,6,2727,0,0,0.242,188.135
2025-03-04 06:22:19,550,896,0,1241.515,77.841,448,6,2688,0,0,0.27,242.209
2025-03-04 06:22:21,550,807,0,1325.177,73.473,403.5,6,2421,0,0,0.284,322.916
2025-03-04 06:22:23,550,874,0,1289.089,73.016,437,6,2622,0,0,0.27,287.822
2025-03-04 06:22:25,550,816,0,1315.14,71.342,408,6,2448,0,0,0.289,315.984
2025-03-04 06:22:27,550,823,0,1340.83,75.153,411.5,6,2469,0,0,0.25,340.61
2025-03-04 06:22:29,550,792,0,1368.332,73.56,396,6,2376,0,0,0.288,369.202
2025-03-04 06:22:31,550,829,0,1357.712,70.693,414.5,6,2487,0,0,0.288,359.159
2025-03-04 06:22:33,550,806,0,1342.149,71.872,403,6,2418,0,0,0.289,339.716
2025-03-04 06:22:35,550,841,0,1339.908,73.964,420.5,6,2523,0,0,0.257,333.904
2025-03-04 06:22:37,550,827,0,1312.574,71.375,413.5,6,2481,0,0,0.265,312.586
2025-03-04 06:22:39,550,843,0,1318.263,69.962,421.5,6,2529,0,0,0.28,320.269
2025-03-04 06:22:41,550,1020,0,1348.352,71.874,510,6,3060,0,0,0.253,246.032
2025-03-04 06:22:43,550,865,0,1295.845,76.795,432.5,6,2595,0,0,0.252,293.533
2025-03-04 06:22:45,550,849,0,1289.757,71.106,424.5,6,2547,0,0,0.226,290.873
2025-03-04 06:22:47,550,784,0,1374.005,83.985,392,6,2352,0,0,0.263,373.417
2025-03-04 06:22:49,550,767,0,1432.386,76.406,383.5,6,2301,0,0,0.263,432.177
2025-03-04 06:22:51,550,889,0,1293.279,105.083,444.5,6,2667,0,0,0.217,292.213
2025-03-04 06:22:53,550,866,0,1249.878,74.006,433,6,2598,0,0,0.255,247.661
2025-03-04 06:22:55,550,863,0,1316.341,73.102,431.5,6,2589,0,0,0.232,311.565
2025-03-04 06:22:57,550,897,0,1237.484,73.115,448.5,6,2691,0,0,0.236,234.25
2025-03-04 06:22:59,550,897,0,1219.056,70.36,448.5,6,2691,0,0,0.205,223.117
2025-03-04 06:23:01,550,858,0,1261.432,73.794,429,6,2574,0,0,0.19,259.006
2025-03-04 06:23:03,550,898,0,1248.361,70.641,449,6,2694,0,0,0.271,250.576
2025-03-04 06:23:05,550,909,0,1220.211,71.154,454.5,6,2727,0,0,0.243,221.064
2025-03-04 06:23:07,550,888,0,1221.708,74.053,444,6,2664,0,0,0.234,219.748
2025-03-04 06:23:09,550,923,0,1203.239,74.712,461.5,6,2769,0,0,0.212,200.813
2025-03-04 06:23:11,550,901,0,1208.708,70.765,450.5,6,2703,0,0,0.257,210.124
2025-03-04 06:23:13,550,1117,0,1243.111,75.738,558.5,6,3351,0,0,0.22,183.186
2025-03-04 06:23:15,550,919,0,1208.047,79.626,459.5,6,2757,0,0,0.189,208.489
2025-03-04 06:23:17,550,932,0,1173.674,68.665,466,6,2796,0,0,0.221,172.994
2025-03-04 06:23:19,550,924,0,1193.116,70.858,462,6,2772,0,0,0.234,192.445
2025-03-04 06:23:21,550,931,0,1179.494,75.234,465.5,6,2793,0,0,0.211,178.798
2025-03-04 06:23:23,550,898,0,1223.738,78.229,449,6,2694,0,0,0.229,220.157
2025-03-04 06:23:25,550,834,0,1285.932,73.347,417,6,2502,0,0,0.263,283.851
2025-03-04 06:23:27,550,844,0,1303.592,71.574,422,6,2532,0,0,0.296,301.009
2025-03-04 06:23:29,550,823,0,1326.78,68.79,411.5,6,2469,0,0,0.27,327.089
2025-03-04 06:23:31,550,813,0,1351.53,71.851,406.5,6,2439,0,0,0.255,354.346
2025-03-04 06:23:33,550,821,0,1348.977,73.066,410.5,6,2463,0,0,0.252,350.547
2025-03-04 06:23:35,550,819,0,1338.342,71.088,409.5,6,2457,0,0,0.236,341.44
2025-03-04 06:23:37,550,819,0,1347.695,70.481,409.5,6,2457,0,0,0.272,347.355
2025-03-04 06:23:39,550,839,0,1314.298,73.097,419.5,6,2517,0,0,0.271,310.645
2025-03-04 06:23:41,550,857,0,1290.692,71.936,428.5,6,2571,0,0,0.259,290.419
