DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 04:51:44,47,35,0,1028.171,69.42,17.5,6,105,0,0,4.171,10.857
2025-03-04 04:51:46,88,154,0,1008.052,65.857,77,6,462,0,0,0.818,8.636
2025-03-04 04:51:48,126,147,0,1008.259,63.986,73.5,6,441,0,0,0.599,8.789
2025-03-04 04:51:50,167,269,0,1006.866,64.863,134.5,6,807,0,0,0.546,8.97
2025-03-04 04:51:52,209,352,0,1003.19,64.543,176,6,1056,0,0,0.42,8.276
2025-03-04 04:51:54,251,427,0,1010.742,68.672,213.5,6,1281,0,0,0.382,9.047
2025-03-04 04:51:56,290,514,0,1007.36,66.674,257,6,1542,0,0,0.416,10
2025-03-04 04:51:58,327,610,0,1007.266,69.109,305,6,1830,0,0,0.375,8.825
2025-03-04 04:52:00,366,667,0,1009.912,64.958,333.5,6,2001,0,0,0.33,9.226
2025-03-04 04:52:02,407,729,0,1005.723,63.982,364.5,6,2187,0,0,0.289,8.35
2025-03-04 04:52:04,450,835,0,1014.398,69.798,417.5,6,2505,0,0,0.304,12.047
2025-03-04 04:52:06,489,903,0,1020.059,68.493,451.5,6,2709,0,0,0.292,22.501
2025-03-04 04:52:08,530,883,0,1088.465,83.344,441.5,6,2649,0,0,0.257,89.94
2025-03-04 04:52:10,569,895,0,1170.218,74.528,447.5,6,2685,0,0,0.276,166.466
2025-03-04 04:52:12,609,917,0,1228.435,76.342,458.5,6,2751,0,0,0.256,227.76
2025-03-04 04:52:14,651,933,0,1318.58,77.869,466.5,6,2799,0,0,0.236,311.46
2025-03-04 04:52:16,690,922,0,1371.563,76.911,461,6,2766,0,0,0.205,371.689
2025-03-04 04:52:18,732,932,0,1459.408,76.864,466,6,2796,0,0,0.246,456.59
2025-03-04 04:52:20,768,924,0,1558.992,83.973,462,6,2772,0,0,0.201,557.571
2025-03-04 04:52:22,812,889,0,1665.198,75.058,444.5,6,2667,0,0,0.253,663.235
2025-03-04 04:52:24,848,888,0,1756.617,77.577,444,6,2664,0,0,0.242,758.539
2025-03-04 04:52:26,888,863,0,1916.446,84.142,431.5,6,2589,0,0,0.233,919.372
2025-03-04 04:52:28,931,859,0,2020.8,71.463,429.5,6,2577,0,0,0.29,1019.388
2025-03-04 04:52:30,969,859,0,2117.071,79.241,429.5,6,2577,0,0,0.276,1121.446
2025-03-04 04:52:32,1011,890,0,2165.909,71.264,445,6,2670,0,0,0.267,1164.246
2025-03-04 04:52:34,1049,879,0,2237.736,77.257,439.5,6,2637,0,0,0.256,1234.289
2025-03-04 04:52:36,1090,837,0,2376.434,79.115,418.5,6,2511,0,0,0.237,1375.958
2025-03-04 04:52:38,1130,869,0,2446.023,72.036,434.5,6,2607,0,0,0.26,1446.697
2025-03-04 04:52:40,1169,837,0,2542.564,83.233,418.5,6,2511,0,0,0.274,1545.418
2025-03-04 04:52:42,1200,850,0,2720.558,82.957,425,6,2550,0,0,0.348,1721.188
2025-03-04 04:52:44,1200,827,0,2799.649,77.096,413.5,6,2481,0,0,1.092,1799.499
2025-03-04 04:52:46,1200,851,0,2853.467,73.703,425.5,6,2553,0,0,1.125,1858.395
2025-03-04 04:52:48,1200,847,0,2876.978,74.422,423.5,6,2541,0,0,0.281,1879.988
2025-03-04 04:52:50,1200,857,0,2802.712,80.953,428.5,6,2571,0,0,0.26,1803.284
2025-03-04 04:52:52,1200,842,0,2806.625,72.74,421,6,2526,0,0,0.284,1806.488
2025-03-04 04:52:54,1200,843,0,2866.428,75.635,421.5,6,2529,0,0,0.272,1865.54
2025-03-04 04:52:56,1200,842,0,2824.619,74.379,421,6,2526,0,0,0.241,1821.74
2025-03-04 04:52:58,1200,867,0,2824.962,74.47,433.5,6,2601,0,0,0.227,1823.396
2025-03-04 04:53:00,1200,880,0,2743.093,79.882,440,6,2640,0,0,0.264,1742.349
2025-03-04 04:53:02,1200,870,222,2719.769,78.805,435,6,2610,0,0,0.221,1722.353
2025-03-04 04:53:04,1200,771,528,2575.804,531.836,385.5,6,2313,0,0,0.188,1578.214
2025-03-04 04:53:06,1200,925,43,2351.638,279.468,462.5,6,2775,0,0,0.218,1347.211
2025-03-04 04:53:08,1200,716,1305,2690.148,312.873,358,6,2148,0,0,0.203,1706.834
2025-03-04 04:53:10,1200,864,52,1728.806,408.693,432,6,2592,0,0,0.194,730.981
2025-03-04 04:53:12,1200,854,251,2630.28,153.977,427,6,2562,0,0,0.181,1634.194
2025-03-04 04:53:14,1200,766,757,2458.978,662.322,383,6,2298,0,0,0.235,1467.828
2025-03-04 04:53:16,1200,934,0,2187.588,334.184,467,6,2802,0,0,0.198,1186.427
2025-03-04 04:53:18,1200,807,515,2681.435,101.009,403.5,6,2421,0,0,0.214,1686.586
2025-03-04 04:53:20,1200,847,193,2315.242,517.921,423.5,6,2541,0,0,0.205,1321.03
2025-03-04 04:53:22,1200,938,0,2550.813,186.724,469,6,2814,0,0,0.167,1550.033
2025-03-04 04:53:24,1200,833,393,2684.634,98.216,416.5,6,2499,0,0,0.204,1685.339
2025-03-04 04:53:26,1200,894,0,2351.641,281.827,447,6,2682,0,0,0.209,1349.359
2025-03-04 04:53:28,1200,899,119,2662.433,74.744,449.5,6,2697,0,0,0.236,1660.305
2025-03-04 04:53:30,1200,825,207,2623.342,280.609,412.5,6,2475,0,0,0.228,1624.11
2025-03-04 04:53:32,1200,879,0,2568.588,210.955,439.5,6,2637,0,0,0.191,1567.272
2025-03-04 04:53:34,1200,835,329,2761.867,82.12,417.5,6,2505,0,0,0.226,1763.006
